experiment_id,model,silhouette,bic,avg_duration,transition_entropy
exp_major_final,changepoint,,,,
exp_major_final,deep_lstm_ae,0.48312701520042667,,,0.256515934326331
exp_major_final,dense_ae_hmm,0.2769031524658203,174743.1815488577,28.41007194244604,0.8022220487827302
exp_major_final,dense_ae_hmm_macro,0.8177542686462402,,157.96,0.4393586517408433
exp_major_final,dense_ae_kmeans,0.45692676305770874,,46.45882352941177,0.468136975430906
exp_major_final,gmm,0.4183566888832875,-9293276.48310069,48.15853658536585,0.29583235458638596
exp_major_final,hierarchy_super,,,,
exp_major_final,hmm,0.4070485438808676,-9760736.952655418,49.9873417721519,0.6755788339585429
exp_major_final,kmeans,0.5082864241749412,,44.875,0.3886820005151249
exp_major_final,vae_ablation,0.19684130496712993,,,0.47511903844176473
